Count,Sampled_r1,Sampled_r2,Sampled_ima1,Sampled_ima2,Sampled_5V
380000,913,926,1900,1892,2425
460000,912,925,1899,1893,2426
460000,924,937,1905,1897,2426
460000,926,938,1905,1896,2427
460000,924,937,1903,1896,2418
460000,925,938,1904,1897,2427
460000,925,938,1905,1897,2428
460000,925,937,1903,1894,2426
460000,924,938,1903,1897,2420
460000,923,937,1902,1896,2423
460000,923,938,1904,1897,2426
460000,924,938,1904,1897,2420
460000,924,938,1904,1897,2421
460000,923,938,1902,1895,2417
460000,924,939,1903,1895,2424
460000,924,938,1904,1897,2422
460000,926,937,1905,1897,2423
460000,924,938,1904,1897,2422
460000,923,939,1903,1895,2423
460000,925,938,1902,1895,2425
460000,924,938,1903,1896,2427
460000,924,937,1903,1895,2424
460000,923,938,1903,1895,2427
460000,924,938,1905,1896,2423
460000,924,938,1902,1895,2425
460000,923,938,1903,1897,2426
460000,923,938,1903,1897,2427
460000,924,937,1904,1896,2425
460000,924,939,1905,1896,2424
460000,924,939,1904,1895,2424
460000,924,938,1903,1895,2431
460000,924,936,1903,1897,2426
460000,923,937,1904,1896,2427
460000,924,939,1905,1895,2422
460000,923,938,1904,1896,2421
460000,926,938,1904,1896,2418
460000,926,937,1903,1896,2426
460000,924,937,1904,1897,2427
460000,925,938,1902,1897,2420
460000,924,938,1904,1897,2426
460000,927,938,1903,1898,2425
460000,924,938,1903,1894,2420
460000,925,938,1904,1894,2419
460000,924,937,1903,1895,2426
460000,924,939,1903,1897,2424
460000,923,937,1902,1895,2423
460000,923,938,1903,1896,2424
460000,923,938,1902,1894,2421
550000,911,949,1896,1889,2413
550000,935,947,1901,1893,2415
550000,937,950,1907,1900,2422
550000,936,952,1908,1900,2421
550000,935,953,1910,1902,2426
550000,938,952,1909,1901,2427
550000,935,951,1908,1900,2428
550000,937,952,1909,1900,2423
550000,936,952,1909,1902,2424
550000,935,951,1909,1902,2425
550000,937,952,1908,1902,2426
550000,936,952,1907,1900,2420
550000,935,951,1908,1901,2425
550000,938,952,1908,1902,2428
550000,937,950,1909,1903,2423
550000,935,951,1909,1901,2424
550000,934,952,1908,1902,2424
550000,935,952,1907,1901,2426
550000,936,951,1910,1902,2426
550000,935,952,1909,1901,2416
550000,936,952,1909,1901,2425
550000,936,951,1910,1901,2424
550000,936,951,1908,1902,2422
550000,935,952,1909,1901,2423
550000,938,952,1907,1900,2418
550000,937,952,1907,1900,2422
550000,937,951,1908,1902,2419
550000,936,951,1909,1900,2424
550000,937,952,1909,1901,2425
550000,935,952,1909,1902,2422
550000,938,951,1909,1901,2419
550000,935,952,1907,1902,2423
550000,935,951,1908,1900,2425
550000,934,952,1909,1900,2426
550000,935,950,1907,1900,2426
550000,935,950,1908,1899,2424
550000,936,951,1907,1901,2420
550000,936,951,1907,1900,2422
550000,934,951,1907,1899,2427
550000,936,951,1906,1900,2420
660000,950,965,1916,1906,2424
660000,952,966,1914,1905,2425
660000,951,966,1912,1906,2421
660000,952,966,1913,1904,2423
660000,952,966,1914,1906,2424
660000,953,965,1913,1905,2420
660000,952,966,1913,1907,2425
660000,952,965,1913,1904,2418
660000,951,966,1913,1907,2423
660000,951,966,1912,1906,2422
660000,951,965,1912,1905,2423
660000,953,967,1913,1906,2422
660000,952,966,1914,1904,2425
660000,950,966,1914,1907,2426
660000,951,965,1912,1904,2421
660000,951,965,1915,1907,2424
660000,951,966,1912,1906,2422
660000,952,964,1914,1906,2421
660000,952,965,1913,1905,2425
660000,952,966,1912,1906,2421
660000,953,966,1913,1906,2426
660000,952,965,1914,1905,2422
660000,952,966,1912,1905,2424
660000,952,966,1913,1906,2427
660000,951,966,1912,1906,2421
660000,952,965,1912,1906,2424
660000,952,966,1913,1906,2419
660000,952,967,1913,1907,2424
660000,951,966,1912,1906,2420
660000,950,966,1913,1906,2417
660000,952,965,1911,1905,2426
660000,952,965,1914,1904,2423
660000,951,967,1914,1905,2424
660000,952,966,1913,1905,2424
660000,952,966,1913,1905,2417
660000,951,966,1912,1906,2424
660000,952,966,1911,1906,2423
660000,952,965,1912,1903,2423
660000,952,967,1913,1903,2425
660000,952,965,1912,1905,2418
790000,972,981,1918,1913,2421
790000,972,981,1919,1914,2422
790000,973,981,1918,1913,2422
790000,972,982,1920,1913,2425
790000,972,983,1918,1913,2417
790000,972,983,1919,1912,2421
790000,972,983,1918,1912,2417
790000,973,982,1918,1912,2428
790000,971,982,1918,1913,2419
790000,972,983,1918,1913,2419
790000,970,984,1918,1913,2428
790000,972,982,1918,1912,2423
790000,973,982,1918,1912,2417
790000,971,984,1917,1914,2421
790000,972,983,1917,1911,2427
790000,973,982,1918,1913,2421
790000,972,981,1917,1913,2421
790000,972,983,1917,1913,2419
790000,972,982,1918,1912,2425
