Count,Sampled_r1,Sampled_r2,Sampled_ima1,Sampled_ima2,Sampled_5V
20000,2356,3474,2362,2415,2364
30000,2338,3404,2342,2363,2340
30000,2351,3346,2360,2221,2352
30000,2362,3349,2365,2414,2362
30000,2336,3255,2345,2399,2342
30000,2330,3258,2339,2221,2344
30000,2340,3339,2349,2227,2347
30000,2357,3430,2363,2440,2358
30000,2349,3431,2358,2407,2361
30000,2341,3345,2347,2364,2347
30000,2357,3291,2359,2429,2357
30000,2363,3294,2371,2301,2372
30000,2335,3313,2343,2185,2340
30000,2348,3405,2358,2395,2356
30000,2364,3452,2367,2448,2363
30000,2331,3350,2338,2353,2335
30000,2340,3286,2347,2414,2343
30000,2352,3265,2359,2358,2360
30000,2358,3328,2367,2209,2366
30000,2333,3359,2341,2314,2333
30000,2348,3428,2354,2451,2356
30000,2359,3415,2362,2387,2368
30000,2349,3326,2359,2413,2356
30000,2336,3252,2344,2388,2338
30000,2350,3294,2359,2224,2356
30000,2356,3371,2365,2267,2357
30000,2353,3423,2360,2439,2364
30000,2337,3404,2343,2384,2341
30000,2346,3344,2353,2379,2351
30000,2355,3294,2362,2433,2358
30000,2362,3293,2371,2293,2369
30000,2336,3318,2344,2192,2345
30000,2354,3409,2358,2401,2355
30000,2358,3446,2364,2431,2364
30000,2344,3365,2354,2367,2352
30000,2342,3292,2350,2415,2346
30000,2341,3252,2350,2335,2345
30000,2357,3327,2367,2205,2362
30000,2329,3350,2339,2315,2327
30000,2342,3421,2349,2444,2343
30000,2355,3405,2360,2379,2354
30000,2349,3319,2358,2411,2354
30000,2339,3247,2346,2390,2342
30000,2348,3285,2356,2220,2347
30000,2356,3373,2366,2266,2365
30000,2368,3446,2374,2458,2364
30000,2335,3400,2342,2383,2341
30000,2344,3334,2349,2375,2348
30000,2354,3288,2361,2427,2354
30000,2363,3295,2376,2287,2373
30000,2336,3320,2343,2197,2338
30000,2354,3406,2357,2395,2357
30000,2360,3445,2361,2429,2361
30000,2353,3384,2361,2376,2354
30000,2348,3300,2353,2422,2353
30000,2362,3279,2368,2360,2363
30000,2329,3283,2338,2178,2334
30000,2347,3388,2358,2338,2353
30000,2355,3443,2363,2459,2364
30000,2330,3392,2343,2356,2352
30000,2337,3310,2345,2392,2337
30000,2345,3262,2352,2395,2351
30000,2356,3294,2362,2228,2356
30000,2351,3369,2365,2268,2364
30000,2333,3396,2339,2421,2338
30000,2351,3424,2356,2400,2347
30000,2366,3378,2371,2391,2365
30000,2331,3261,2339,2412,2338
30000,2348,3265,2354,2285,2352
30000,2357,3346,2364,2208,2356
30000,2366,3433,2372,2403,2375
30000,2340,3421,2345,2417,2340
30000,2354,3384,2359,2374,2360
30000,2360,3322,2367,2435,2369
30000,2332,3242,2341,2346,2337
30000,2348,3312,2357,2193,2349
30000,2353,3394,2362,2342,2364
30000,2365,3462,2377,2470,2365
30000,2331,3372,2335,2360,2333
30000,2349,3322,2354,2409,2356
30000,2363,3287,2367,2410,2364
30000,2332,3265,2340,2195,2336
30000,2329,3339,2338,2262,2336
30000,2346,3419,2356,2445,2352
30000,2346,3416,2354,2389,2357
30000,2359,3349,2363,2406,2358
30000,2364,3298,2371,2434,2364
30000,2352,3279,2357,2249,2357
30000,2342,3343,2353,2228,2347
30000,2351,3428,2363,2435,2360
30000,2361,3452,2369,2418,2367
30000,2335,3330,2341,2362,2341
30000,2344,3279,2353,2424,2352
30000,2360,3281,2366,2291,2360
30000,2329,3302,2337,2182,2335
30000,2337,3392,2345,2388,2343
30000,2339,3424,2349,2416,2341
30000,2356,3373,2361,2379,2356
30000,2351,3300,2358,2434,2354
30000,2334,3239,2341,2307,2339
30000,2338,3310,2350,2185,2342
30000,2348,3400,2354,2366,2350
30000,2356,3445,2364,2452,2356
30000,2364,3407,2373,2389,2372
30000,2332,3286,2337,2399,2337
30000,2344,3258,2352,2376,2347
30000,2345,3296,2351,2202,2344
30000,2359,3394,2370,2314,2362
30000,2332,3404,2337,2430,2332
30000,2339,3395,2346,2376,2344
30000,2358,3343,2360,2396,2351
30000,2370,3306,2381,2438,2365
30000,2336,3252,2344,2245,2337
30000,2350,3354,2358,2229,2362
30000,2346,3416,2356,2424,2354
30000,2360,3442,2364,2413,2363
30000,2333,3343,2345,2366,2350
30000,2340,3271,2346,2416,2342
30000,2350,3268,2360,2297,2349
30000,2357,3340,2364,2200,2360
30000,2359,3414,2364,2392,2359
30000,2363,3453,2370,2447,2371
30000,2334,3353,2340,2353,2337
30000,2352,3305,2355,2419,2355
30000,2359,3275,2368,2363,2359
30000,2364,3335,2371,2209,2370
30000,2334,3361,2343,2321,2341
30000,2350,3434,2360,2452,2356
30000,2356,3405,2361,2382,2358
30000,2365,3341,2370,2424,2373
30000,2329,3240,2341,2378,2336
30000,2340,3280,2349,2209,2341
30000,2346,3365,2356,2278,2352
30000,2347,3429,2355,2447,2354
30000,2372,3446,2378,2411,2376
30000,2337,3320,2343,2379,2341
