Count,Sampled_r1,Sampled_r2,Sampled_ima1,Sampled_ima2,Sampled_5V
150000,1631,1633,1948,1933,2447
150000,1642,1647,1938,1940,2450
180000,1646,1638,1932,1934,2440
180000,1635,1640,1931,1945,2447
180000,1640,1643,1939,1933,2450
180000,1633,1643,1937,1929,2437
180000,1641,1647,1937,1936,2447
180000,1639,1638,1934,1938,2451
180000,1635,1641,1934,1930,2443
180000,1632,1642,1931,1929,2441
180000,1638,1637,1931,1928,2439
180000,1636,1639,1934,1937,2457
180000,1636,1635,1927,1929,2434
180000,1632,1634,1928,1935,2460
180000,1648,1643,1935,1935,2442
180000,1634,1638,1932,1928,2434
180000,1634,1635,1926,1930,2466
180000,1635,1636,1931,1926,2463
180000,1639,1648,1930,1935,2442
180000,1637,1637,1935,1938,2446
180000,1633,1634,1927,1929,2450
180000,1646,1639,1935,1938,2454
180000,1634,1635,1926,1929,2462
180000,1635,1640,1939,1930,2438
180000,1641,1638,1933,1932,2442
180000,1634,1635,1931,1947,2449
180000,1651,1636,1938,1934,2440
180000,1637,1641,1952,1934,2451
180000,1635,1637,1927,1935,2451
180000,1643,1637,1931,1931,2438
180000,1631,1635,1926,1932,2452
180000,1645,1639,1938,1935,2444
180000,1633,1636,1933,1934,2449
180000,1637,1636,1929,1928,2459
180000,1635,1634,1934,1932,2440
180000,1636,1641,1929,1930,2428
180000,1635,1644,1932,1932,2451
180000,1653,1640,1939,1938,2447
180000,1637,1641,1933,1931,2443
180000,1632,1635,1939,1940,2447
180000,1638,1639,1934,1931,2440
180000,1636,1632,1928,1924,2456
180000,1636,1638,1950,1941,2453
180000,1633,1639,1937,1957,2459
180000,1645,1640,1936,1935,2441
180000,1634,1649,1950,1937,2451
180000,1639,1634,1929,1927,2450
180000,1632,1635,1932,1941,2448
180000,1649,1639,1934,1939,2444
180000,1640,1637,1932,1930,2440
180000,1647,1660,1937,1943,2454
220000,1634,1632,1942,1936,2444
220000,1637,1638,1929,1927,2437
220000,1634,1639,1929,1929,2466
220000,1640,1647,1946,1935,2447
220000,1642,1640,1935,1930,2439
220000,1634,1635,1929,1934,2449
220000,1635,1645,1936,1931,2440
220000,1653,1639,1938,1932,2442
220000,1639,1636,1928,1928,2435
220000,1651,1639,1940,1932,2444
220000,1639,1646,1933,1932,2439
220000,1635,1638,1927,1931,2450
220000,1635,1637,1939,1950,2451
220000,1633,1635,1929,1932,2455
220000,1633,1636,1928,1936,2455
220000,1634,1640,1952,1935,2446
220000,1645,1641,1939,1936,2449
220000,1632,1638,1929,1926,2446
220000,1632,1634,1930,1941,2453
220000,1635,1639,1934,1944,2458
220000,1636,1636,1928,1926,2436
220000,1640,1643,1934,1933,2442
220000,1634,1636,1931,1932,2455
220000,1641,1648,1939,1934,2446
220000,1650,1639,1934,1933,2444
220000,1637,1643,1931,1930,2438
220000,1647,1643,1933,1934,2440
220000,1645,1644,1938,1934,2446
220000,1635,1637,1944,1933,2447
220000,1644,1648,1938,1943,2470
220000,1638,1646,1933,1940,2461
220000,1636,1638,1946,1946,2453
220000,1641,1639,1931,1930,2436
220000,1638,1656,1936,1935,2449
220000,1634,1639,1930,1940,2453
220000,1640,1639,1930,1930,2437
220000,1632,1640,1931,1947,2453
220000,1644,1643,1933,1936,2468
220000,1637,1636,1938,1945,2447
220000,1634,1635,1924,1927,2460
260000,1634,1638,1950,1939,2449
260000,1638,1641,1931,1928,2438
260000,1643,1641,1936,1929,2442
260000,1641,1639,1931,1931,2446
260000,1647,1645,1934,1934,2438
260000,1643,1650,1941,1936,2449
260000,1635,1640,1939,1947,2450
260000,1640,1642,1930,1929,2450
260000,1642,1639,1931,1934,2453
260000,1641,1641,1942,1933,2449
260000,1649,1647,1934,1935,2444
260000,1643,1646,1932,1932,2440
260000,1637,1640,1937,1941,2465
260000,1639,1655,1947,1938,2449
260000,1639,1641,1931,1928,2437
260000,1642,1641,1933,1932,2439
260000,1638,1637,1927,1933,2455
260000,1645,1641,1939,1931,2440
260000,1640,1660,1939,1936,2444
260000,1639,1635,1944,1940,2439
260000,1637,1639,1933,1943,2454
260000,1642,1639,1942,1944,2448
260000,1639,1654,1939,1935,2443
260000,1640,1639,1932,1933,2447
260000,1651,1658,1940,1944,2452
260000,1638,1642,1932,1928,2440
260000,1640,1640,1931,1934,2465
260000,1636,1641,1932,1935,2454
260000,1636,1641,1935,1949,2449
260000,1634,1636,1929,1939,2444
260000,1654,1644,1934,1934,2441
260000,1650,1646,1958,1945,2456
260000,1641,1663,1950,1939,2457
260000,1637,1640,1929,1931,2452
260000,1643,1649,1936,1935,2442
260000,1642,1645,1934,1933,2437
260000,1639,1643,1931,1928,2432
260000,1639,1642,1931,1929,2462
260000,1634,1650,1948,1932,2445
260000,1634,1637,1936,1952,2447
320000,1645,1639,1935,1928,2436
320000,1646,1648,1942,1934,2441
320000,1657,1653,1938,1941,2442
320000,1642,1642,1933,1935,2452
320000,1641,1659,1935,1935,2444
320000,1644,1644,1933,1932,2434
320000,1643,1641,1935,1939,2457
320000,1640,1646,1938,1936,2446
320000,1641,1657,1937,1937,2447
320000,1650,1661,1937,1941,2449
320000,1646,1650,1935,1936,2444
320000,1645,1644,1936,1933,2439
320000,1644,1645,1937,1933,2439
320000,1643,1644,1935,1930,2460
320000,1638,1645,1939,1952,2462
320000,1643,1644,1930,1930,2449
320000,1652,1642,1938,1932,2443
320000,1642,1642,1934,1939,2447
320000,1645,1643,1930,1938,2454
320000,1644,1642,1935,1930,2438
320000,1639,1661,1948,1937,2451
320000,1658,1648,1935,1937,2443
320000,1662,1648,1946,1940,2448
320000,1637,1645,1939,1957,2457
320000,1651,1649,1938,1937,2454
320000,1662,1648,1942,1942,2449
320000,1638,1644,1944,1954,2453
320000,1642,1643,1938,1935,2454
320000,1636,1648,1950,1934,2450
320000,1646,1642,1932,1934,2462
320000,1648,1647,1938,1934,2442
320000,1643,1645,1935,1930,2441
320000,1648,1644,1935,1930,2437
320000,1638,1640,1931,1928,2457
320000,1644,1649,1940,1934,2445
320000,1645,1649,1937,1933,2440
320000,1646,1642,1932,1938,2452
320000,1642,1641,1934,1935,2454
320000,1649,1654,1934,1937,2437
320000,1645,1642,1933,1933,2458
380000,1652,1659,1937,1941,2448
380000,1642,1653,1952,1933,2443
380000,1644,1650,1935,1932,2440
380000,1652,1651,1939,1942,2450
380000,1644,1654,1950,1955,2456
380000,1644,1663,1958,1942,2458
380000,1647,1655,1936,1939,2442
380000,1642,1646,1940,1947,2457
380000,1640,1643,1937,1954,2452
380000,1638,1646,1935,1948,2444
380000,1650,1643,1935,1932,2433
380000,1643,1648,1935,1932,2439
380000,1642,1645,1938,1938,2463
380000,1645,1648,1935,1933,2439
380000,1642,1649,1934,1931,2435
380000,1643,1648,1944,1933,2439
380000,1641,1644,1952,1940,2443
380000,1644,1645,1932,1935,2459
380000,1644,1655,1951,1937,2447
380000,1644,1662,1950,1939,2451
380000,1648,1656,1944,1939,2449
380000,1640,1649,1940,1952,2449
380000,1644,1658,1939,1940,2444
380000,1644,1649,1936,1933,2438
380000,1642,1659,1946,1936,2448
380000,1642,1663,1939,1939,2446
380000,1641,1648,1939,1939,2455
380000,1647,1667,1942,1940,2451
380000,1655,1644,1937,1935,2436
380000,1642,1649,1941,1950,2449
380000,1640,1660,1947,1935,2446
380000,1650,1646,1938,1934,2444
380000,1647,1651,1940,1937,2451
380000,1642,1643,1939,1941,2452
380000,1640,1644,1935,1950,2448
380000,1651,1650,1938,1937,2444
380000,1646,1648,1939,1930,2438
380000,1648,1650,1951,1937,2452
380000,1662,1654,1942,1943,2445
380000,1643,1648,1932,1931,2442
460000,1644,1646,1934,1931,2459
460000,1646,1646,1931,1938,2450
460000,1646,1651,1939,1933,2442
460000,1645,1653,1939,1954,2448
460000,1647,1656,1960,1943,2450
460000,1644,1648,1946,1951,2450
460000,1657,1659,1939,1942,2441
460000,1647,1645,1935,1938,2446
460000,1647,1651,1934,1935,2437
460000,1646,1649,1935,1934,2437
460000,1644,1647,1934,1938,2461
460000,1662,1650,1943,1939,2440
460000,1654,1650,1940,1938,2439
460000,1656,1657,1950,1942,2450
460000,1650,1649,1955,1942,2455
460000,1646,1648,1935,1932,2435
460000,1649,1647,1937,1933,2445
460000,1656,1652,1941,1939,2443
460000,1646,1648,1934,1938,2447
460000,1644,1653,1939,1935,2438
460000,1645,1649,1936,1937,2458
460000,1654,1654,1941,1940,2458
460000,1647,1665,1943,1941,2446
460000,1648,1653,1943,1935,2442
460000,1652,1648,1947,1939,2443
460000,1645,1648,1934,1935,2449
460000,1644,1651,1960,1945,2452
460000,1650,1649,1935,1937,2448
460000,1642,1650,1940,1956,2454
460000,1648,1649,1936,1939,2458
460000,1650,1656,1942,1938,2443
460000,1651,1648,1938,1935,2435
460000,1650,1653,1939,1937,2439
460000,1648,1651,1946,1948,2451
460000,1655,1652,1943,1939,2438
460000,1648,1654,1946,1958,2456
460000,1646,1650,1934,1931,2432
460000,1646,1649,1941,1944,2467
460000,1651,1650,1944,1934,2440
460000,1651,1648,1940,1933,2441
550000,1864,1863,2140,2087,2454
550000,1655,1654,1941,1942,2447
550000,1650,1655,1963,1945,2453
550000,1646,1652,1950,1957,2451
550000,1648,1659,1951,1939,2444
550000,1650,1652,1941,1949,2461
550000,1663,1653,1948,1943,2442
550000,1650,1654,1943,1938,2439
550000,1647,1655,1941,1952,2448
550000,1647,1656,1962,1943,2449
550000,1649,1650,1942,1944,2460
550000,1646,1650,1937,1939,2455
550000,1646,1653,1945,1948,2462
550000,1649,1652,1942,1936,2436
550000,1654,1655,1951,1941,2456
550000,1649,1653,1946,1951,2448
550000,1653,1652,1941,1939,2440
550000,1643,1656,1948,1963,2453
550000,1655,1656,1941,1941,2439
550000,1657,1660,1951,1945,2447
550000,1651,1661,1948,1943,2444
550000,1656,1654,1943,1941,2445
550000,1649,1650,1943,1942,2456
550000,1648,1651,1955,1938,2439
550000,1651,1653,1940,1945,2457
550000,1648,1651,1940,1935,2450
550000,1652,1660,1947,1942,2445
550000,1648,1655,1941,1936,2458
550000,1652,1652,1942,1937,2445
550000,1647,1648,1946,1946,2459
550000,1652,1670,1951,1947,2449
550000,1653,1652,1942,1939,2444
550000,1651,1651,1942,1943,2447
550000,1650,1672,1949,1945,2448
550000,1667,1656,1947,1947,2445
550000,1647,1668,1950,1944,2443
550000,1663,1663,1947,1949,2445
550000,1656,1654,1948,1939,2439
550000,1653,1652,1941,1938,2438
550000,1644,1652,1944,1951,2459
660000,1643,1650,1952,1966,2461
660000,1650,1654,1947,1949,2462
660000,1653,1663,1945,1944,2439
660000,1649,1657,1967,1960,2457
660000,1655,1659,1959,1942,2443
660000,1663,1659,1950,1947,2445
660000,1660,1654,1947,1947,2459
660000,1656,1674,1950,1951,2446
660000,1650,1655,1966,1952,2445
660000,1654,1658,1945,1941,2440
660000,1652,1659,1944,1941,2454
660000,1648,1653,1939,1944,2456
660000,1662,1662,1948,1948,2443
660000,1654,1666,1941,1944,2438
660000,1651,1663,1958,1944,2442
660000,1655,1668,1945,1952,2456
660000,1657,1663,1953,1946,2448
660000,1654,1654,1940,1947,2456
660000,1647,1670,1959,1945,2445
660000,1657,1655,1946,1942,2441
660000,1651,1657,1951,1961,2455
660000,1656,1672,1946,1949,2447
660000,1657,1653,1943,1940,2467
660000,1652,1655,1946,1944,2455
660000,1646,1652,1947,1963,2447
660000,1649,1650,1943,1948,2464
660000,1660,1657,1948,1944,2441
660000,1654,1660,1953,1948,2446
660000,1649,1654,1944,1947,2454
660000,1666,1657,1949,1949,2446
660000,1667,1658,1948,1947,2444
660000,1656,1658,1944,1943,2438
660000,1656,1657,1962,1945,2444
660000,1653,1659,1966,1948,2449
660000,1659,1660,1953,1945,2441
660000,1653,1655,1945,1946,2459
660000,1650,1655,1942,1944,2450
660000,1651,1654,1942,1940,2465
660000,1656,1654,1945,1941,2442
660000,1654,1661,1953,1951,2457
790000,1653,1671,1958,1951,2452
790000,1657,1657,1956,1950,2450
790000,1654,1662,1956,1965,2451
790000,1657,1659,1946,1943,2432
790000,1655,1675,1970,1951,2449
790000,1657,1657,1957,1966,2449
790000,1658,1660,1968,1952,2445
790000,1658,1659,1947,1944,2435
790000,1654,1668,1956,1954,2450
790000,1662,1668,1946,1949,2437
790000,1658,1659,1948,1943,2457
790000,1657,1658,1953,1944,2440
790000,1673,1681,1960,1964,2456
790000,1662,1676,1952,1955,2447
790000,1657,1656,1963,1958,2445
790000,1665,1666,1951,1952,2444
790000,1660,1657,1948,1944,2449
790000,1655,1656,1947,1950,2456
790000,1661,1671,1971,1952,2453
790000,1656,1663,1974,1959,2458
790000,1658,1666,1949,1951,2450
790000,1658,1661,1947,1945,2442
790000,1661,1659,1948,1945,2443
790000,1674,1663,1958,1957,2450
790000,1658,1660,1962,1949,2446
790000,1658,1665,1948,1947,2441
790000,1656,1658,1944,1943,2456
790000,1654,1656,1942,1949,2455
790000,1671,1675,1953,1959,2448
790000,1668,1677,1950,1955,2448
790000,1655,1659,1955,1957,2447
790000,1656,1661,1955,1952,2455
790000,1679,1667,1956,1957,2444
790000,1674,1661,1954,1950,2442
790000,1657,1658,1945,1945,2459
790000,1660,1660,1959,1970,2451
790000,1655,1656,1950,1955,2447
790000,1658,1660,1950,1945,2435
790000,1658,1667,1958,1969,2453
790000,1666,1667,1949,1951,2445
950000,1663,1659,1951,1952,2447
950000,1666,1670,1954,1954,2440
950000,1663,1666,1976,1958,2451
950000,1660,1662,1967,1955,2445
950000,1663,1663,1947,1950,2434
950000,1657,1660,1966,1965,2448
950000,1661,1670,1956,1961,2447
950000,1678,1674,1957,1960,2447
950000,1672,1663,1963,1959,2455
950000,1663,1663,1950,1953,2451
950000,1663,1661,1965,1959,2444
950000,1666,1668,1953,1953,2440
950000,1672,1663,1952,1952,2445
950000,1658,1663,1951,1958,2441
950000,1672,1661,1957,1953,2456
950000,1662,1683,1964,1957,2446
950000,1667,1665,1958,1950,2436
950000,1662,1666,1969,1956,2446
950000,1663,1671,1958,1955,2444
950000,1662,1663,1955,1962,2463
950000,1660,1670,1977,1958,2456
950000,1679,1665,1960,1957,2445
950000,1661,1663,1951,1949,2435
950000,1663,1663,1954,1951,2455
950000,1670,1663,1958,1955,2442
950000,1669,1668,1959,1971,2457
950000,1667,1667,1958,1958,2468
950000,1663,1670,1958,1955,2447
950000,1663,1670,1958,1953,2442
950000,1670,1676,1959,1961,2446
950000,1663,1671,1958,1954,2445
950000,1670,1666,1954,1954,2449
950000,1661,1671,1968,1961,2451
950000,1663,1668,1951,1952,2439
950000,1666,1667,1954,1953,2446
950000,1679,1663,1960,1958,2456
950000,1663,1662,1952,1954,2456
950000,1663,1663,1951,1956,2460
950000,1669,1663,1953,1954,2446
950000,1673,1667,1958,1957,2441
1150000,1659,1662,1955,1968,2447
1150000,1665,1668,1978,1971,2456
1150000,1663,1663,1955,1956,2456
1150000,1674,1669,1965,1956,2457
1150000,1662,1670,1969,1979,2456
1150000,1663,1668,1963,1977,2447
1150000,1661,1663,1954,1965,2454
1150000,1667,1683,1979,1962,2454
1150000,1668,1680,1982,1964,2456
1150000,1666,1668,1958,1955,2435
1150000,1661,1670,1963,1969,2449
1150000,1663,1666,1951,1951,2452
1150000,1665,1668,1957,1953,2437
1150000,1663,1668,1958,1954,2436
1150000,1669,1668,1958,1958,2436
1150000,1662,1667,1959,1959,2458
1150000,1671,1667,1956,1956,2437
1150000,1671,1678,1960,1964,2452
1150000,1665,1682,1957,1961,2440
1150000,1659,1661,1961,1974,2452
1150000,1670,1667,1958,1956,2448
1150000,1673,1667,1962,1971,2452
1150000,1662,1679,1956,1958,2438
1150000,1665,1666,1954,1955,2456
1150000,1667,1674,1959,1959,2459
1150000,1665,1668,1970,1957,2445
1150000,1663,1667,1954,1958,2461
1150000,1665,1671,1982,1972,2455
1150000,1671,1671,1959,1958,2444
1150000,1670,1671,1961,1957,2439
1150000,1665,1665,1955,1952,2434
1150000,1674,1670,1964,1958,2441
1150000,1672,1684,1961,1965,2448
1150000,1665,1663,1955,1961,2462
1150000,1667,1665,1956,1962,2456
1150000,1659,1666,1959,1975,2455
1150000,1667,1673,1961,1957,2442
1150000,1671,1687,1961,1965,2451
1150000,1669,1667,1956,1958,2458
1150000,1663,1665,1951,1952,2444
1380000,1674,1674,1957,1960,2443
1380000,1679,1677,1971,1964,2453
1380000,1671,1683,1981,1964,2450
1380000,1670,1669,1976,1961,2443
1380000,1675,1671,1962,1962,2454
1380000,1676,1679,1971,1966,2448
1380000,1673,1676,1963,1961,2445
1380000,1671,1681,1982,1964,2450
1380000,1679,1677,1968,1966,2445
1380000,1670,1673,1962,1959,2437
1380000,1676,1674,1963,1962,2443
1380000,1672,1685,1993,1973,2462
1380000,1675,1672,1963,1962,2457
1380000,1676,1677,1963,1964,2440
1380000,1668,1673,1980,1977,2454
1380000,1669,1670,1959,1963,2453
1380000,1674,1676,1977,1967,2449
1380000,1667,1669,1967,1978,2464
1380000,1678,1674,1968,1962,2442
1380000,1666,1670,1966,1984,2457
1380000,1671,1674,1973,1960,2443
1380000,1665,1672,1968,1962,2443
1380000,1671,1692,1977,1968,2452
1380000,1675,1683,1970,1967,2449
1380000,1674,1678,1962,1963,2439
1380000,1674,1671,1963,1961,2445
1380000,1669,1674,1964,1979,2449
1380000,1670,1668,1978,1969,2447
1380000,1684,1683,1969,1971,2448
1380000,1667,1668,1967,1968,2451
1380000,1671,1674,1979,1980,2452
1380000,1688,1672,1971,1965,2444
1380000,1670,1677,1977,1963,2446
1380000,1669,1682,1971,1964,2447
1380000,1686,1672,1969,1964,2446
1380000,1669,1673,1963,1959,2454
1380000,1682,1682,1964,1968,2448
1380000,1665,1669,1964,1981,2451
1380000,1667,1671,1971,1968,2451
1380000,1667,1668,1957,1969,2455
1650000,1668,1674,1966,1974,2454
1650000,1676,1686,1986,1968,2444
1650000,1692,1688,1969,1971,2438
1650000,1695,1686,1975,1972,2445
1650000,1683,1679,1970,1964,2439
1650000,1688,1684,1971,1970,2437
1650000,1682,1679,1968,1964,2438
1650000,1676,1683,1992,1971,2447
1650000,1693,1701,1976,1980,2453
1650000,1679,1680,1970,1976,2447
1650000,1680,1686,1970,1967,2439
1650000,1676,1688,1975,1965,2443
1650000,1682,1685,1967,1967,2436
1650000,1677,1678,1965,1961,2450
1650000,1675,1679,1989,1977,2448
1650000,1692,1682,1974,1969,2439
1650000,1683,1689,1972,1970,2445
1650000,1681,1681,1971,1965,2437
1650000,1673,1689,1980,1965,2453
1650000,1689,1683,1974,1968,2441
1650000,1680,1681,1969,1964,2434
1650000,1686,1680,1984,1968,2447
1650000,1681,1681,1971,1964,2448
1650000,1688,1682,1977,1966,2443
1650000,1682,1685,1992,1973,2451
1650000,1681,1678,1970,1962,2436
1650000,1696,1684,1979,1973,2445
1650000,1684,1682,1991,1972,2446
1650000,1676,1688,1967,1966,2433
1650000,1686,1681,1976,1974,2453
1650000,1678,1683,1971,1964,2435
1650000,1677,1679,1965,1965,2459
1650000,1678,1681,1978,1974,2445
1650000,1682,1678,1966,1962,2432
1650000,1689,1680,1971,1967,2440
1650000,1674,1678,1987,1980,2452
1650000,1679,1678,1967,1974,2455
1650000,1680,1679,1974,1969,2454
1650000,1682,1686,1973,1966,2440
1650000,1679,1676,1971,1984,2453
1980000,1682,1697,1986,1972,2449
1980000,1692,1686,1976,1969,2450
1980000,1688,1686,1979,1973,2458
1980000,1687,1698,1997,1971,2449
1980000,1710,1707,1984,1984,2450
1980000,1688,1689,1976,1988,2443
1980000,1689,1688,1975,1974,2455
1980000,1689,1688,1972,1965,2443
1980000,1698,1702,1977,1976,2443
1980000,1689,1684,1980,1983,2462
1980000,1693,1692,1977,1970,2435
1980000,1701,1695,1981,1976,2444
1980000,1693,1693,1977,1970,2434
1980000,1699,1692,1984,1975,2450
1980000,1689,1685,1978,1972,2459
1980000,1691,1688,1978,1973,2465
1980000,1692,1689,1984,1985,2455
1980000,1705,1689,1988,1981,2451
1980000,1691,1688,1975,1968,2439
1980000,1691,1687,1976,1966,2433
1980000,1706,1702,1982,1979,2447
1980000,1690,1705,1980,1974,2439
1980000,1694,1695,1982,1972,2442
1980000,1694,1692,1979,1980,2448
1980000,1688,1685,1975,1972,2456
1980000,1687,1688,1978,1991,2449
1980000,1699,1689,1997,1993,2452
1980000,1694,1690,1981,1968,2441
1980000,1700,1689,1981,1976,2447
1980000,1702,1704,1980,1978,2444
1980000,1700,1701,1980,1978,2444
1980000,1695,1701,1977,1974,2437
1980000,1689,1695,1984,1971,2437
1980000,1687,1700,1991,1972,2443
1980000,1689,1686,1974,1969,2452
1980000,1696,1702,1976,1975,2435
1980000,1688,1684,1977,1970,2456
1980000,1700,1692,1986,1979,2444
1980000,1701,1692,1985,1972,2443
1980000,1691,1701,1980,1978,2462
2380000,1687,1686,1980,1992,2455
2380000,1716,1700,2003,1982,2459
2380000,1714,1700,2003,1980,2440
2380000,1712,1695,1998,1974,2453
2380000,1697,1694,2000,1991,2451
2380000,1700,1695,1991,1974,2444
2380000,1694,1696,1997,1996,2449
2380000,1690,1702,2011,1976,2442
2380000,1701,1701,2012,1979,2444
2380000,1707,1692,1998,1979,2458
2380000,1700,1695,2005,1982,2439
2380000,1707,1700,2014,1997,2453
2380000,1714,1698,2000,1981,2458
2380000,1695,1699,1997,1995,2444
2380000,1702,1703,2011,1979,2445
2380000,1709,1697,1994,1976,2447
2380000,1696,1695,1997,1980,2460
2380000,1704,1696,2001,1988,2443
2380000,1697,1695,1991,1984,2454
2380000,1701,1704,2008,1980,2446
2380000,1697,1702,2002,1999,2449
2380000,1708,1712,2008,1984,2451
2380000,1720,1700,2007,1983,2446
2380000,1706,1707,2005,1984,2447
2380000,1721,1700,2008,1984,2446
2380000,1715,1712,2003,1988,2449
2380000,1699,1698,1992,1981,2450
2380000,1696,1695,1995,1994,2449
2380000,1702,1701,2001,1981,2458
2380000,1712,1720,2001,1987,2445
2380000,1699,1698,1992,1972,2455
2380000,1702,1695,2006,1977,2445
2380000,1695,1699,1991,1971,2426
2380000,1714,1702,2014,1984,2446
2380000,1702,1720,2005,1984,2452
2380000,1697,1693,1994,1981,2452
2380000,1703,1707,2014,1981,2446
2380000,1703,1706,1995,1980,2435
2380000,1698,1716,2003,1979,2441
2380000,1695,1709,1996,1977,2433
2860000,1703,1707,1998,1979,2439
2860000,1696,1711,1997,1978,2447
2860000,1705,1721,2004,1986,2441
2860000,1699,1710,1996,1983,2460
2860000,1705,1713,1999,1986,2456
2860000,1699,1717,2009,2003,2450
2860000,1711,1713,2008,1984,2438
2860000,1715,1718,2010,1990,2451
2860000,1704,1712,1999,1981,2449
2860000,1703,1713,2017,1979,2456
2860000,1695,1705,2007,2001,2445
2860000,1698,1713,2001,1977,2429
2860000,1700,1724,2000,1985,2438
2860000,1711,1726,2002,1989,2437
2860000,1699,1714,1996,1985,2454
2860000,1716,1717,2004,1988,2437
2860000,1697,1711,2002,1989,2451
2860000,1704,1713,2010,2006,2459
2860000,1705,1715,1999,1982,2434
2860000,1705,1713,2002,1982,2434
2860000,1697,1709,1999,1984,2452
2860000,1700,1709,2020,1987,2448
2860000,1703,1717,2007,1984,2440
