Count,Sampled_r1,Sampled_r2,Sampled_ima1,Sampled_ima2,Sampled_5V
180000,1371,1373,1877,1875,2388
220000,1370,1375,1877,1877,2390
220000,1375,1381,1879,1876,2386
220000,1376,1379,1878,1875,2384
220000,1375,1379,1878,1876,2387
220000,1376,1379,1878,1877,2388
220000,1376,1378,1878,1876,2389
220000,1377,1380,1881,1877,2388
220000,1376,1380,1879,1875,2381
220000,1377,1380,1879,1876,2385
220000,1376,1379,1878,1876,2386
220000,1376,1379,1879,1876,2382
220000,1375,1380,1881,1876,2387
220000,1376,1379,1879,1876,2385
220000,1377,1381,1880,1877,2391
220000,1377,1380,1878,1875,2380
220000,1376,1379,1879,1877,2388
220000,1374,1379,1878,1875,2383
220000,1378,1380,1881,1877,2388
220000,1376,1379,1880,1877,2386
220000,1375,1379,1877,1875,2383
220000,1375,1380,1879,1876,2389
220000,1376,1379,1878,1876,2389
220000,1375,1378,1878,1874,2383
220000,1376,1378,1879,1875,2386
220000,1376,1380,1877,1875,2389
220000,1377,1380,1879,1876,2390
220000,1376,1378,1880,1877,2389
220000,1376,1378,1879,1875,2389
220000,1376,1379,1879,1876,2385
220000,1376,1380,1879,1877,2386
220000,1375,1378,1879,1875,2387
220000,1376,1379,1877,1875,2387
220000,1375,1380,1878,1876,2389
220000,1376,1381,1880,1877,2383
220000,1376,1379,1878,1874,2387
220000,1376,1380,1879,1876,2389
220000,1374,1379,1878,1876,2389
220000,1376,1379,1878,1876,2384
220000,1377,1380,1880,1877,2388
220000,1377,1378,1878,1876,2382
220000,1374,1379,1877,1875,2386
220000,1376,1378,1878,1873,2383
220000,1373,1379,1876,1876,2381
220000,1376,1379,1880,1877,2390
220000,1374,1379,1878,1874,2386
220000,1377,1379,1880,1876,2388
220000,1377,1380,1879,1878,2389
260000,1381,1385,1878,1877,2386
260000,1380,1386,1880,1877,2387
260000,1380,1385,1878,1876,2385
260000,1381,1385,1879,1878,2388
260000,1381,1385,1880,1877,2390
260000,1380,1384,1880,1876,2385
260000,1380,1385,1879,1874,2384
260000,1380,1385,1880,1877,2387
260000,1380,1385,1879,1876,2388
260000,1380,1384,1879,1875,2390
260000,1381,1386,1879,1877,2383
260000,1382,1386,1879,1878,2392
260000,1380,1385,1879,1877,2384
260000,1381,1385,1880,1878,2390
